id,course,name,intro,introformat,practice,modattempts,usepassword,password,dependency,conditions,grade,custom,ongoing,usemaxgrade,maxanswers,maxattempts,review,nextpagedefault,feedback,minquestions,maxpages,timelimit,retake,activitylink,mediafile,mediaheight,mediawidth,mediaclose,slideshow,width,height,bgcolor,displayleft,displayleftif,progressbar,available,deadline,timemodified,completionendreached,completiontimespent,allowofflineattempts
39aa44db-248f-4c10-a488-f4642632fe24,A41A4D8CF7CD4CCCABA4FE5FC3CE21BF,Art Appreciation Lesson 1,Art Appreciation Lesson 1 posted for Art Appreciation 102,0,0,0,0,,0,,100,0,0,1,20,1,0,0,1,6,1,0,1,0,,100,650,0,0,640,480,#FFFFFF,0,0,0,2022-01-24T00:00:00.000Z,2022-02-08T00:00:00.000Z,2022-01-24T00:00:00.000Z,0,0,0
09909270-dae3-4526-b756-f7ae5e2e8371,4659EDDC864346B9BE42E52321A14D3F,Drawing Foundations Lesson 1,Drawing Foundations Lesson 1 posted for Drawing Foundations 162,0,0,0,0,,0,,100,0,0,1,20,3,0,0,1,20,1,0,1,0,,100,650,0,0,640,480,#FFFFFF,0,0,0,2022-01-05T00:00:00.000Z,2022-01-20T00:00:00.000Z,2022-01-05T00:00:00.000Z,0,0,0
31fedbb2-2a13-4da1-b56b-0f632a1a1b60,445E913608A44FBDA99B8108E1990EB0,Painting Media Lesson 1,Painting Media Lesson 1 posted for Painting Media 205,0,0,0,0,,0,,100,0,0,1,20,2,0,0,1,12,1,0,1,0,,100,650,0,0,640,480,#FFFFFF,0,0,0,2022-01-20T00:00:00.000Z,2022-02-07T00:00:00.000Z,2022-01-20T00:00:00.000Z,0,0,0
a1a85aaa-72fe-471f-bc7c-0fd7dc5fd852,445E913608A44FBDA99B8108E1990EB0,Painting Media Lesson 2,Painting Media Lesson 2 posted for Painting Media 205,0,0,0,0,,0,,100,0,0,1,20,3,0,0,1,13,1,0,1,0,,100,650,0,0,640,480,#FFFFFF,0,0,0,2022-01-26T00:00:00.000Z,2022-02-10T00:00:00.000Z,2022-01-26T00:00:00.000Z,0,0,0
3035593f-f3fe-4068-97cc-7d5fd6d1ff2d,7EA3285A7DFB4C2389A12D00CE77BDF9,Intro to Digital Art Lesson 1,Intro to Digital Art Lesson 1 posted for Intro to Digital Art 207,0,0,0,0,,0,,100,0,0,1,20,1,0,0,1,17,1,0,1,0,,100,650,0,0,640,480,#FFFFFF,0,0,0,2022-01-18T00:00:00.000Z,2022-02-08T00:00:00.000Z,2022-01-18T00:00:00.000Z,0,0,0
fea48cdb-0158-4cf0-8ff0-0f809e81ecc3,7EA3285A7DFB4C2389A12D00CE77BDF9,Intro to Digital Art Lesson 2,Intro to Digital Art Lesson 2 posted for Intro to Digital Art 207,0,0,0,0,,0,,100,0,0,1,20,1,0,0,1,17,1,0,1,0,,100,650,0,0,640,480,#FFFFFF,0,0,0,2022-01-20T00:00:00.000Z,2022-01-29T00:00:00.000Z,2022-01-20T00:00:00.000Z,0,0,0
f661e877-1477-49e2-91ed-402d6d91a752,7EA3285A7DFB4C2389A12D00CE77BDF9,Intro to Digital Art Lesson 3,Intro to Digital Art Lesson 3 posted for Intro to Digital Art 207,0,0,0,0,,0,,100,0,0,1,20,5,0,0,1,10,1,0,1,0,,100,650,0,0,640,480,#FFFFFF,0,0,0,2022-01-10T00:00:00.000Z,2022-01-25T00:00:00.000Z,2022-01-10T00:00:00.000Z,0,0,0
d6a39c8e-deca-4af2-9714-a3d61d8a4f7d,92C670E8E11A47888A574BE6D6300042,Ceramics Lesson 1,Ceramics Lesson 1 posted for Ceramics 213,0,0,0,0,,0,,100,0,0,1,20,3,0,0,1,10,1,0,1,0,,100,650,0,0,640,480,#FFFFFF,0,0,0,2022-01-07T00:00:00.000Z,2022-01-26T00:00:00.000Z,2022-01-07T00:00:00.000Z,0,0,0
8656e6cb-1f15-4ac5-9c2f-4732faee38b1,AD1204DE0EE14ECB97A62A03310E1FA5,Intro to Sculpture Lesson 1,Intro to Sculpture Lesson 1 posted for Intro to Sculpture 214,0,0,0,0,,0,,100,0,0,1,20,3,0,0,1,15,1,0,1,0,,100,650,0,0,640,480,#FFFFFF,0,0,0,2022-01-27T00:00:00.000Z,2022-02-12T00:00:00.000Z,2022-01-27T00:00:00.000Z,0,0,0
74776edd-1f51-4884-b7b4-a47e8439efb4,AD1204DE0EE14ECB97A62A03310E1FA5,Intro to Sculpture Lesson 2,Intro to Sculpture Lesson 2 posted for Intro to Sculpture 214,0,0,0,0,,0,,100,0,0,1,20,1,0,0,1,8,1,0,1,0,,100,650,0,0,640,480,#FFFFFF,0,0,0,2022-01-16T00:00:00.000Z,2022-02-04T00:00:00.000Z,2022-01-16T00:00:00.000Z,0,0,0
e2f7ceb5-2e65-487f-8245-7db9f9f7ae93,6F6FBD3F724F4CB8AE2F090B37BB729A,Intro to Ceramics Lesson 1,Intro to Ceramics Lesson 1 posted for Intro to Ceramics 216,0,0,0,0,,0,,100,0,0,1,20,3,0,0,1,9,1,0,1,0,,100,650,0,0,640,480,#FFFFFF,0,0,0,2022-01-13T00:00:00.000Z,2022-02-01T00:00:00.000Z,2022-01-13T00:00:00.000Z,0,0,0
8e978938-0c3e-44a9-ac8e-3096e583bfae,6F6FBD3F724F4CB8AE2F090B37BB729A,Intro to Ceramics Lesson 2,Intro to Ceramics Lesson 2 posted for Intro to Ceramics 216,0,0,0,0,,0,,100,0,0,1,20,5,0,0,1,8,1,0,1,0,,100,650,0,0,640,480,#FFFFFF,0,0,0,2022-01-07T00:00:00.000Z,2022-01-19T00:00:00.000Z,2022-01-07T00:00:00.000Z,0,0,0
